syncom_id,rep,shoot_len,syncom_composition
31,len_1,7.3,CMF9/G5/G18/
31,len_2,4,CMF9/G5/G18/
31,len_3,6.2,CMF9/G5/G18/
31,len_4,6.5,CMF9/G5/G18/
32,len_1,7.2,CK22/CMF18/F19/
32,len_2,6.5,CK22/CMF18/F19/
32,len_3,6,CK22/CMF18/F19/
32,len_4,7.7,CK22/CMF18/F19/
33,len_1,6.7,CMF9/CMF18/F19/G7/G18/KF11
33,len_2,6.1,CMF9/CMF18/F19/G7/G18/KF11
33,len_3,6.7,CMF9/CMF18/F19/G7/G18/KF11
33,len_4,6.8,CMF9/CMF18/F19/G7/G18/KF11
34,len_1,7.1,CK22/CMF9/F19/G7/G18/KF11
34,len_2,5.9,CK22/CMF9/F19/G7/G18/KF11
34,len_3,7.2,CK22/CMF9/F19/G7/G18/KF11
34,len_4,4.7,CK22/CMF9/F19/G7/G18/KF11
35,len_1,7,CK1/CMF9/CMF18/F19/G7/
35,len_2,7.5,CK1/CMF9/CMF18/F19/G7/
35,len_3,6.9,CK1/CMF9/CMF18/F19/G7/
35,len_4,6,CK1/CMF9/CMF18/F19/G7/
36,len_1,6.3,CK22/CMF18/F19/G5/G7/KF11
36,len_2,6.1,CK22/CMF18/F19/G5/G7/KF11
36,len_3,6.5,CK22/CMF18/F19/G5/G7/KF11
36,len_4,7,CK22/CMF18/F19/G5/G7/KF11
37,len_1,7.3,CK22/F19/G5/G7/G18/KF11
37,len_2,6.3,CK22/F19/G5/G7/G18/KF11
37,len_3,5.4,CK22/F19/G5/G7/G18/KF11
37,len_4,5.4,CK22/F19/G5/G7/G18/KF11
38,len_1,6.6,CK22/CMF18/G18/KF11
38,len_2,6.4,CK22/CMF18/G18/KF11
38,len_3,5.5,CK22/CMF18/G18/KF11
38,len_4,6,CK22/CMF18/G18/KF11
39,len_1,6,CK22/G5/
39,len_2,6.4,CK22/G5/
39,len_3,6.6,CK22/G5/
39,len_4,6,CK22/G5/
40,len_1,6.5,CK1/CK22/F19/G5/KF11
40,len_2,7.5,CK1/CK22/F19/G5/KF11
40,len_3,6.2,CK1/CK22/F19/G5/KF11
40,len_4,5.8,CK1/CK22/F19/G5/KF11
41,len_1,5.4,CMF9/CMF18/F19/G5/G7/KF11
41,len_2,5.6,CMF9/CMF18/F19/G5/G7/KF11
41,len_3,5.7,CMF9/CMF18/F19/G5/G7/KF11
41,len_4,5.2,CMF9/CMF18/F19/G5/G7/KF11
42,len_1,5.8,CMF18/F19/G7/KF11
42,len_2,7.5,CMF18/F19/G7/KF11
42,len_3,6.4,CMF18/F19/G7/KF11
42,len_4,6.5,CMF18/F19/G7/KF11
43,len_1,7.4,CMF18/F19/G7/
43,len_2,6.2,CMF18/F19/G7/
43,len_3,6.8,CMF18/F19/G7/
43,len_4,6.1,CMF18/F19/G7/
44,len_1,5,CK1/CMF18/F19/G7/
44,len_2,5.2,CK1/CMF18/F19/G7/
44,len_3,6.8,CK1/CMF18/F19/G7/
44,len_4,6.5,CK1/CMF18/F19/G7/
45,len_1,6.5,CMF9/F19/G5/
45,len_2,6.4,CMF9/F19/G5/
45,len_3,6,CMF9/F19/G5/
45,len_4,6.5,CMF9/F19/G5/
